campus_id,lat,lon,nome,operadora,n_predios,ano_obra_dw,status,frac_built_inicio,frac_built_fim
us-0150,33.95482296190477,-84.19862873333334,Flexential Atlanta - Norcross,Flexential,1,,pre_ja_construido,1.0,1.0
us-0151,47.84183693939394,-122.3014331030303,Centersquare Lynnwood SE1,Centersquare,1,,pre_ja_construido,1.0,1.0
us-0152,38.98734458186274,-104.78698321691176,SAP COS02,SAP,2,,pre_ja_construido,0.8085,0.9991
us-0153,41.338343379166666,-96.0282144375,Verizon,,2,,pre_ja_construido,1.0,1.0
us-0154,34.74095138888889,-86.68248229444444,SimpleHelix,Alabama Supercomputer Authority,2,,sem_leitura_dw,,1.0
us-0155,33.8507524125,-118.304123425,Equinix,Equinix,1,,pre_ja_construido,0.9619,1.0
us-0156,41.92849313846154,-87.85923198461539,Digital Realty Chicago ORD12,Digital Realty,1,,pre_ja_construido,1.0,1.0
us-0157,41.24291896923077,-96.01651846923076,Scott Data Center,,1,,pre_ja_construido,1.0,1.0
us-0158,41.173002255,-96.08429083,Yahoo,Yahoo,2,,pre_ja_construido,0.8633,0.8297
us-0159,33.91839631333334,-118.3856385258586,DRT LAX12,Digital Realty,3,,pre_ja_construido,1.0,1.0
us-0160,39.92247473846154,-104.98348132307692,Google - Thornton,Google,1,,pre_ja_construido,1.0,1.0
us-0161,34.0477155889832,-118.2561548955092,One Wilshire,,3,,pre_ja_construido,1.0,1.0
us-0162,37.48343385920492,-77.24405634619916,RIC3 DC4,Quality Technology Services,17,2024.0,datado,0.042,0.6149
us-0163,29.672566611111108,-82.29992183333333,UF Research Computing Center,University of Florida,1,,pre_ja_construido,1.0,1.0
us-0164,25.78246777619048,-80.19317587619048,NAP of the Americas,,1,,pre_ja_construido,1.0,1.0
us-0165,25.79752268,-80.22997702,,,1,,sem_leitura_dw,,
us-0166,41.54015697416666,-93.82697008027776,Microsoft,Microsoft,4,,pre_ja_construido,0.6358,0.9695
us-0167,41.669578505401134,-93.51112916738848,Meta,Meta,7,2020.0,datado,0.3042,0.867
us-0168,37.36050100952381,-77.32820114404763,PowerHouse CTP-02,PowerHouse,3,,pre_ja_construido,0.5196,0.802
us-0169,33.70558556636364,-117.84712482999998,TPx Colocation Datacenter,TPx Communications,2,,pre_ja_construido,1.0,1.0
us-0170,33.71694198888889,-117.80592874444444,Lumen Technologies,,1,,pre_ja_construido,1.0,1.0
us-0171,47.65422108333333,-117.42000936666666,Lumen,Lumen Technologies,1,,pre_ja_construido,1.0,1.0
us-0172,43.06729974545454,-89.4366415818182,,,1,,sem_leitura_dw,,0.9866
us-0173,38.45557879565217,-77.97833369565217,Equinix CU2,Equinix,1,,pre_ja_construido,0.7909,0.8047
us-0174,37.33355344109589,-121.88799112876713,,,1,,pre_ja_construido,1.0,1.0
us-0175,40.82888520790064,-74.13153348600962,Credit Suisse: Clifton Data Center,Digital Realty,4,,pre_ja_construido,1.0,1.0
us-0176,40.157083060000005,-74.1016629,Manasquan Cable Landing Station (Apollo),Vodafone,1,,pre_ja_construido,1.0,1.0
us-0177,40.8436461,-72.88337264615384,Cable & Wireless Cable Landing Station,,1,,pre_ja_construido,1.0,1.0
us-0178,40.05905948938776,-83.13355342244897,Amazon Web Services,Oppidan,7,,pre_periodo_curto,0.3816,0.8618
us-0179,45.91586676686869,-119.26750966383838,Amazon Web Services,Amazon Web Services,11,,pre_ja_construido,0.6492,1.0
us-0180,37.39918774288451,-121.89090103106184,Stack Infrastructure,Stack Infrastructure,4,,pre_ja_construido,1.0,1.0
us-0181,35.315845075079366,-81.82410965698412,Meta,Meta,4,,pre_ja_construido,1.0,0.9366
us-0182,47.40531920756867,-120.20685411990688,Microsoft EAT04,Microsoft,13,2019.0,datado,0.356,0.7156
us-0183,40.53808341967257,-74.54480800328363,Rackspace Belmont NYC2,Digital Realty,8,,pre_ja_construido,0.7352,0.9274
us-0184,34.199807480000004,-118.34372558,,Centurylink,1,,pre_ja_construido,1.0,1.0
us-0185,39.5680051890909,-119.54226465515151,,,11,,pre_ja_construido,0.5713,1.0
us-0186,38.25410086190476,-122.2732402095238,Kaiser Data Center,,1,,pre_ja_construido,1.0,1.0
us-0187,32.82262202679958,-96.87357657989617,Prime DFW01-01,Prime,7,,pre_ja_construido,1.0,0.8927
us-0188,33.411907817619046,-112.36399995190476,PHX-14,Microsoft,6,2023.0,datado,0.1665,0.6621
us-0189,41.078666295,-74.15279646,NYSE Data Center,nyse,1,,pre_ja_construido,1.0,1.0
us-0190,34.57989721764706,-118.11397017058825,AT&T,,1,,pre_ja_construido,1.0,1.0
us-0191,38.80275601428571,-104.52199372857142,,,1,,pre_ja_construido,1.0,1.0
us-0192,45.318714209090906,-122.76579013636363,Siemens EDA - HDC / Data Center,Siemens Digital Industries Software,1,,pre_ja_construido,1.0,1.0
us-0193,30.018454644444446,-95.8638096,,DXC Technology,1,,nunca_cruza_limiar,0.2703,0.2129
us-0194,41.506190016666665,-81.68393511666666,H5 Data Center,,1,,pre_ja_construido,1.0,1.0
us-0195,30.331476700000003,-81.66251528000001,Cologix Jacksonville JAX1,,1,,sem_leitura_dw,1.0,1.0
us-0196,32.992863836994566,-97.25356055137848,Charles Schwab Data Center,Meta,6,,sem_leitura_dw,0.4172,0.7932
us-0197,35.14278255833333,-80.91615879999999,Spectrum Charlotte National Data Center,,1,,pre_ja_construido,1.0,1.0
us-0198,29.416058064635408,-98.7957528782798,Microsoft,Microsoft,15,,nunca_cruza_limiar,0.008,0.132
us-0199,27.945539377777777,-82.35099956666666,Cyxtera Tampa TP1,Cyxtera,1,,pre_ja_construido,1.0,1.0
us-0200,35.0315001625,-85.2973373625,DC Blox Chattanooga,,1,,sem_leitura_dw,,1.0
us-0201,32.896092621674875,-96.98210730381774,QTS Irving - Dallas Data Center Campus,Quality Technology Services,2,,pre_ja_construido,0.725,0.9631
us-0202,41.802502,-88.09511072000001,Centersquare Lisle ORD4 Data Center,Centersquare,1,,pre_ja_construido,0.5902,0.7229
us-0203,33.36198746486487,-111.83933397297298,GoDaddy - Gilbert,,1,,pre_ja_construido,1.0,1.0
us-0204,32.7476846047619,-117.15898786190476,AT&T Center,American Telephone & Telegraph,1,,pre_ja_construido,1.0,1.0
us-0205,36.14050064,-86.76410687,,,1,,sem_leitura_dw,,1.0
us-0206,33.76511408571428,-84.38373121428572,CenturyLink,,1,,pre_ja_construido,1.0,1.0
us-0207,40.42736522,-80.04240924,Expedient Pittsburgh South,Expedient,1,,pre_ja_construido,1.0,1.0
us-0208,33.42132545714286,-111.8590174,Centersquare: Phoenix - (PHX1 - Mesa),Centersquare,1,,pre_ja_construido,1.0,1.0
us-0209,29.996188246732025,-95.56395370490196,,DXC Technology,2,,pre_ja_construido,0.9329,0.9817
us-0210,42.68797839230769,-84.6430871923077,Liquid Web,,1,,pre_ja_construido,1.0,1.0
us-0211,42.70546936,-84.66618308,"Liquid Web, Inc",,1,,sem_leitura_dw,1.0,1.0
us-0212,34.0706768625,-84.675858175,,,1,,pre_ja_construido,1.0,1.0
us-0213,40.104562127140525,-82.80633437952613,STACK New Albany,,4,,pre_ja_construido,0.7931,0.8244
us-0214,32.99471130625,-96.75251121875,Flexential Dallas - Richardson,Flexential,1,,pre_ja_construido,1.0,1.0
us-0215,33.17190354,-96.7255101,Experian McKinney Data Center,,1,,pre_ja_construido,0.8071,1.0
us-0216,40.11580085909091,-83.00196969090909,,,2,,pre_ja_construido,1.0,1.0
us-0217,38.923442455,-92.288649405,Carfax,,1,,pre_ja_construido,1.0,1.0
us-0218,32.85046361538461,-97.07020166923076,Amazon Web Services,Amazon Web Services,1,,pre_ja_construido,1.0,1.0
us-0219,40.096313715430405,-82.74217150225275,Vantage Building 3,Vantage,16,2024.0,datado,0.1252,0.6947
us-0220,30.42116074,-97.59164534,Thin-nology,,1,,pre_ja_construido,1.0,1.0
us-0221,41.1129734,-73.38860782857144,,CyrusOne,1,,pre_ja_construido,1.0,1.0
us-0222,33.74927864170139,-84.58358805520834,Switch Data Center,Switch,4,,pre_ja_construido,0.8525,0.8428
us-0223,41.91674095185186,-87.91791159629629,Aligned Data Center - Chicago ORD-02,Aligned,3,,pre_ja_construido,0.8966,1.0
us-0224,38.87215334,-99.3002393,Cloud Storage Corp,,1,,pre_ja_construido,1.0,1.0
us-0225,29.821745305882352,-95.57078666470588,,,1,,pre_ja_construido,1.0,1.0
us-0226,42.98214774,-70.95051866,Information Technology Data Center,Phillips Exeter Academy,1,,pre_ja_construido,1.0,1.0
us-0227,47.82235052857143,-122.28953385714286,Digital Fortress Lynnwood,,1,,pre_ja_construido,1.0,1.0
us-0228,40.48047937401587,-111.90521926553114,DataBank SLC6,DataBank,5,,pre_ja_construido,0.8714,1.0
us-0229,32.966050403018414,-96.71283387133316,Digital Realty Dallas DFW16,Digital Realty,8,,pre_ja_construido,0.9299,0.9965
us-0230,38.93751479875,-94.86252331125,U.S. Bank National Data Process Center,,2,,pre_ja_construido,0.652,1.0
us-0231,39.83090506,-75.19544144,,,1,,pre_ja_construido,1.0,1.0
us-0232,41.22032120869565,-96.14777280434782,,Verizon Wireless,1,,pre_ja_construido,1.0,1.0
us-0233,28.61740028571429,-81.39350322857142,,,1,,sem_leitura_dw,,1.0
us-0234,33.06368258438334,-80.04164232512309,Google,Google,10,,pre_ja_construido,0.632,0.8203
us-0235,39.21344725555556,-76.68275761111111,TierPoint Baltimore BWI,,1,,pre_ja_construido,0.9965,1.0
us-0236,40.45659404285714,-109.5291019142857,Strata Networks,,1,,pre_ja_construido,1.0,1.0
us-0237,40.5701696,-74.67036068,Goldman Sachs,,1,,pre_ja_construido,1.0,0.996
us-0238,38.63658760909091,-90.25556963636365,Genome Data Center,Washington University in St. Louis,1,,pre_ja_construido,1.0,1.0
us-0239,35.934647245486104,-78.88083385694443,,CyrusOne,2,,pre_ja_construido,0.9883,1.0
us-0240,40.581402784615385,-74.5738876,365 Bridgewater NJ,,1,,pre_ja_construido,1.0,0.9087
us-0241,31.23191786,-85.45578578,AngelTrax Data Center,AngelTrax Mobile Video Surveillance Solutions,1,,sem_leitura_dw,1.0,1.0
us-0242,34.828523709306744,-106.78045882883283,Meta,Meta,5,,nunca_cruza_limiar,0.0,0.473
us-0243,47.159612432988354,-122.27973117838484,Centeris,,3,,pre_periodo_curto,0.5,0.7613
us-0244,40.1944427,-92.58129575714284,,AT&T,1,,pre_ja_construido,1.0,1.0
us-0245,32.96491037142857,-80.10119037142859,DartPoints Charleston,DartPoints,1,,pre_ja_construido,1.0,1.0
us-0246,44.08615372,-121.2831403,US Signal - OR01 Bend,US Signal,1,,pre_ja_construido,1.0,1.0
us-0247,42.863068936842105,-87.97779475263158,Expedient Milwaukee,,1,,pre_ja_construido,1.0,1.0
us-0248,43.894996996428574,-69.92342896071429,Oxford Networks,FirstLight,1,,pre_ja_construido,1.0,1.0
us-0249,40.06009630721796,-82.75849310152626,Google NBY-7,Google,17,2024.0,datado,0.0,0.6954
us-0250,32.99072453722002,-96.66037612015872,Aligned  DFW-02,Aligned,12,2023.0,datado,0.2112,0.473
us-0251,29.6582052,-95.44339676923076,Rice Data Center,,1,,pre_ja_construido,1.0,1.0
us-0252,34.996615222222225,-82.03476766666667,DartPoints Spartanburg,DartPoints,1,,pre_ja_construido,1.0,1.0
us-0253,33.45314875312501,-111.97684885454548,Iron Mountain AZP-1,Iron Mountain,2,,pre_ja_construido,0.8586,0.8836
us-0254,45.84968970633801,-119.625152499825,Amazon Web Services,Amazon Web Services,24,2020.0,datado,0.2546,0.893
us-0255,35.048296926666666,-106.54214325333334,,,1,,pre_ja_construido,1.0,1.0
us-0256,45.79852562978022,-119.36251677302808,Amazon Web Services,Amazon Web Services,6,2021.0,datado,0.0,0.9882
us-0257,36.62397941044932,-87.2601157970951,SPC4A,Google,5,2018.0,datado,0.169,0.5385
us-0258,33.087157107692306,-96.81521987692308,DataBank Plano Data Center,DataBank,1,,pre_periodo_curto,0.2084,0.9689
us-0259,29.8027991125,-95.7548967,Skybox Houston One,Skybox,1,,pre_ja_construido,0.9518,0.8661
us-0260,34.91381534148149,-85.74718733481483,Google,Google,3,2021.0,datado,0.03,0.3898
us-0261,40.57999068636364,-74.51951246363636,PSE&G Delivery Emergency Response Center,PSE&G,1,,pre_periodo_curto,0.0,1.0
us-0262,35.25067564444444,-81.39460595555555,T5 Charlotte Campus,,1,,pre_ja_construido,0.9972,0.9687
us-0263,44.070767505,-92.522160145,Epic / Mayo Data Center,,1,,pre_ja_construido,1.0,1.0
us-0264,33.971671,-96.4029076,Choctaw Nation of Oklahoma Data Center,Choctaw Nation of oklahoma,1,,pre_ja_construido,1.0,1.0
us-0265,40.58419035882353,-74.24360215294118,,,1,,pre_ja_construido,1.0,1.0
us-0266,40.7563686,-111.95479144285714,Flexential Salt Lake City - Downtown,Flexential,1,,pre_ja_construido,1.0,1.0
us-0267,44.92645768,-123.00212508666668,Oregon State Data Center,State of Oregon,1,,pre_ja_construido,1.0,1.0
us-0268,26.19016734,-80.19337298,Flexential Fort Lauderdale,Flexential,1,,sem_leitura_dw,,1.0
us-0269,30.1778833,-95.48645435384616,,,1,,pre_ja_construido,1.0,1.0
us-0270,36.24823088730158,-115.10102953333332,Flexential Las Vegas - North,Flexential,1,,pre_ja_construido,1.0,1.0
us-0271,33.95346953333333,-98.5249205,,,1,,pre_ja_construido,0.9048,0.9514
us-0272,44.04742483333334,-121.32854958333331,Fort Rock DC,Fort Rock Data Center,1,,pre_ja_construido,1.0,1.0
us-0273,42.96871046,-83.77952085333332,,,1,,pre_ja_construido,1.0,1.0
us-0274,40.59953065128205,-74.70999686923076,Verizon Branchburg NEC Datacenter,Verizon,1,,pre_ja_construido,1.0,1.0
us-0275,35.76677744,-78.78401724,iGLASS Networks,,1,,pre_ja_construido,1.0,1.0
us-0276,46.332119160000005,-113.29268792,,,1,,pre_ja_construido,1.0,1.0
us-0277,40.52809706,-74.68285246,Vital Records,,1,,pre_ja_construido,1.0,1.0
us-0278,34.05945746,-117.20215664,,,1,,pre_ja_construido,1.0,1.0
us-0279,44.20458406,-88.34495945999998,,Involta,1,,pre_ja_construido,0.7803,0.7117
us-0280,39.1827232125,-85.896665775,DartPoints Columbus,DartPoints,1,,sem_leitura_dw,,0.5347
us-0281,42.23525812,-83.44417412,,US Signal,1,,pre_ja_construido,0.9912,1.0
us-0282,36.215640990625,-86.78395580243054,Tennessee Processing Center LLC,BNYM,2,,pre_ja_construido,0.6687,0.5718
us-0283,40.544190324324326,-75.65434881351352,Allentown-TekPark,,1,,pre_ja_construido,1.0,1.0
us-0284,38.24616836896552,-122.06710390689656,PG&E Datacenter,,1,,pre_ja_construido,1.0,1.0
us-0285,40.95130584,-73.89795971999999,,,1,,pre_ja_construido,1.0,1.0
us-0286,40.1608166375,-74.05313033750001,Wall Township Cable Landing Station,Tata,1,,pre_ja_construido,1.0,1.0
us-0287,42.2139088,-83.1981998,Comcast,Comcast,1,,pre_ja_construido,1.0,1.0
us-0288,36.03272208333333,-86.63784035277777,HCA Information Technology & Services Data Center,,2,,sem_leitura_dw,,0.6197
us-0289,35.924439660000004,-86.85595573999998,TierPoint,,1,,sem_leitura_dw,0.9201,0.9986
us-0290,35.972103358333335,-86.80919448333333,Flexential Brentwood Data Center,,1,,sem_leitura_dw,0.9437,0.9887
us-0291,36.02283674,-86.79092252000001,,,1,,pre_ja_construido,0.8725,0.7501
us-0292,33.34259871578947,-111.8410321,StrongMind,,1,,pre_ja_construido,1.0,1.0
us-0293,35.83938306666667,-78.32821528888888,BB&T Data Center,,1,,pre_ja_construido,1.0,1.0
us-0294,41.51663542901709,-93.70993667452991,Microsoft,Microsoft,12,2019.0,datado,0.3214,0.7334
us-0295,41.49683363381818,-93.78779375511688,Microsoft,Microsoft,5,2024.0,datado,0.0,0.6638
us-0296,43.07488511111112,-78.94478933333333,,Blockfusion,1,,pre_ja_construido,1.0,1.0
us-0297,43.0829127427922,-79.00342677971861,Blockfusion Niagra Falls,,11,,pre_ja_construido,1.0,1.0
us-0298,37.062787,-113.544766,Lumen,Lumen Technologies,1,,pre_ja_construido,1.0,1.0
us-0299,33.40444681818182,-86.91100315454545,Sungard Systems International,,1,2021.0,datado,0.3196,0.8809
us-0300,33.47547718,-111.71919878,Myndshift Technologies,,1,2019.0,datado,0.0,1.0
us-0301,41.70402082,-91.58706644,ForceAmp.com,,1,,pre_ja_construido,1.0,1.0
us-0302,35.176530735,-80.92719966,SEGRA,TierPoint,2,,pre_ja_construido,1.0,1.0
us-0303,39.01758361428572,-78.29076075714285,Middletown Data Center,,1,,pre_ja_construido,0.9982,1.0
us-0304,47.86468925714286,-122.28417308571429,Norma Beach Cable Landing Station,Unity Cable System,1,,pre_ja_construido,1.0,1.0
us-0305,32.09275,-110.78744953999998,,DirecTV,1,,pre_ja_construido,1.0,1.0
us-0306,36.05754364444444,-115.00861854444446,Google,Google,2,2020.0,datado,0.0,0.9467
us-0307,32.441769098099,-97.06216809455113,Google,Google,3,2024.0,datado,0.0,0.518
us-0308,41.12645983113268,-96.14501803508014,Google,Google,10,2022.0,datado,0.0423,0.9646
us-0309,39.989088908333336,-105.0206949625,JPMorgan Chase,JPMorgan Chase,1,2019.0,datado,0.0,1.0
us-0310,43.78215386666667,-89.5748644,Marquette-Adams Telephone Coop,,1,,pre_ja_construido,1.0,1.0
us-0311,32.5428132012963,-96.79688203380952,Compass Data Center,Google,12,,nunca_cruza_limiar,0.0001,0.118
us-0312,42.745429362500005,-73.75913545,Turnkey Internet,,1,,pre_ja_construido,1.0,1.0
us-0313,47.5945744,-117.53718616,Iron Mountain,,1,,pre_ja_construido,1.0,1.0
us-0314,38.463007822222224,-78.85690858888888,DBT Data - Harrisonburg Center,,1,,pre_ja_construido,0.9208,1.0
us-0315,41.09187608235294,-73.51659052352942,amnet Data Center,,1,,pre_ja_construido,1.0,1.0
us-0316,38.93080963346628,-94.76466037132953,Data Center Lenexa,TierPoint,3,,pre_ja_construido,1.0,1.0
us-0317,39.0561675939705,-77.54718006101405,TikTok Data Center,True North Data Solutions,20,2024.0,datado,0.0954,0.6347
us-0318,38.951465027369245,-77.52644143797622,Digital Realty Northern Virginia IAD44,Digital Realty,28,2021.0,datado,0.0695,0.8633
us-0319,42.31732512,-111.30425085333331,Family History Center,The Church of Jesus Christ of Latter-day Saints,1,,pre_ja_construido,1.0,1.0
us-0320,36.32806034,-83.37670518,,,1,2018.0,datado,0.0138,0.0138
us-0321,45.83711409805555,-119.69172274583332,Amazon Web Services,Amazon Web Services,4,2020.0,datado,0.0,1.0
us-0322,39.73172447765151,-104.71040496767677,QTS,Quality Technology Services,2,2020.0,datado,0.0,1.0
us-0323,43.044887056,-78.74919779199999,,,1,,pre_ja_construido,1.0,1.0
us-0324,42.67428542916667,-87.90766543625,,,2,,nunca_cruza_limiar,0.0741,0.335
us-0325,41.50506476666667,-81.65778205,Lumen Cleveland,,1,,pre_ja_construido,1.0,1.0
us-0326,35.17960122857143,-80.57022371428572,,,1,,pre_ja_construido,0.7726,0.7722
us-0327,43.012117620000005,-76.11590924,SU Green Data Center,Syracuse University,1,,pre_ja_construido,1.0,1.0
us-0328,35.99337245454546,-86.49566798181819,Tennessee South Data Center,State of Tennessee,1,,sem_leitura_dw,,0.7175
us-0329,33.153626200000005,-117.23889064,,,1,,pre_ja_construido,1.0,1.0
us-0330,39.29357245555556,-76.55166311111111,Johns Hopkins Data Center,,1,,pre_ja_construido,1.0,1.0
us-0331,38.59222567,-121.27729773000002,Edgeconnex Data Center,EdgeConneX,1,,pre_ja_construido,1.0,1.0
us-0332,33.44333044393939,-112.3755347,Vantage Data Centers,Vantage Data Centers,2,2023.0,datado,0.0,0.912
us-0333,35.92036381666667,-86.81560874166667,Flexential Nashville - Franklin,Flexential,1,,pre_ja_construido,1.0,1.0
us-0334,40.59084182,-111.90384294,Verizon,,1,,pre_ja_construido,1.0,1.0
us-0335,41.55810191333333,-93.52790069787878,,,2,,pre_ja_construido,1.0,1.0
us-0336,36.081289780000006,-95.85417008,,,1,,pre_ja_construido,1.0,1.0
us-0337,33.39665146666667,-112.00016935555556,1GServers,,1,,pre_ja_construido,1.0,1.0
us-0338,32.49810781325188,-84.88353207387217,DLI ONE,DLI ONE,2,,sem_leitura_dw,,0.9606
us-0339,28.577967855555556,-81.56460299999999,E-Foam,,1,,pre_ja_construido,1.0,1.0
us-0340,41.47874286,-72.80103227142857,,,1,,pre_ja_construido,1.0,1.0
us-0341,44.9380585,-123.03374285555554,CenturyLink,CenturyLink,1,,pre_ja_construido,1.0,1.0
us-0342,40.906475049696965,-74.236253165,,CyrusOne,2,2018.0,datado,0.3814,1.0
us-0343,42.3324603875,-122.8804122,Date Center West - Eugene,"Data Center West, Inc.",1,,pre_ja_construido,1.0,1.0
us-0344,37.43339477058823,-122.18077906470587,Northwest Data Center and Communications Hub,,1,,pre_ja_construido,1.0,1.0
