nome_datacenter;operadora;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status;endereco_corrigido;municipio_corrigido;estado_corrigido;pais_corrigido;cep_corrigido;status_geocode
CDZNet Data Center;cdznet data center;-20.8119075;-49.3886276;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/cdznet-data-center/;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;0.0;1.0;1.0;0;0;0;0;0;;;ok;ok;R. Independência, 2472 - Parque Industrial, São José do Rio Preto - SP, 15025-095, Brazil;São José do Rio Preto;SP;Brazil;15025-095;OK
Century CEM-DC01;Century Telecom LTDA;-19.9305832;-44.0614069;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/belo-horizonte/century-cem-dc01/;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;;1.0;1.0;1.0;0;0;0;0;0;;;ok;ok;R. José Pedro de Araújo, 1066 - Cinco, Contagem - MG, 32341-560, Brazil;Contagem;MG;Brazil;32341-560;OK
Cirion CUR1;Cirion;-25.4703512;-49.3502146;1;2;Facility;Colocation;Carrier Neutral, Hyperscale-Ready;https://www.datacentermap.com/brazil/curitiba/cirion-cur1/;1.0;1.0;662.0;662.0;;;Sole-tenant;;N+1;1.0;1.0;1.0;;;2.0;1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;0;0;23;0;0;CUR1;1564.0;bloqueado;ok;R. do Semeador, 347 - Cidade Industrial de Curitiba, Curitiba - PR, 81020-490, Brazil;Curitiba;PR;Brazil;81020-490;OK
Cirion RIO2;Cirion;-22.9049036;-43.2159206;1;2;Facility;Colocation;Carrier Neutral, Hyperscale-Ready;https://www.datacentermap.com/brazil/rio-de-janeiro/cirion-rio2/;60.0;60.0;3310.0;3310.0;2026.0;Purpose-built;Sole-tenant;;N+1;1.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;RIO2;;bloqueado;ok;Av. Pedro II, 235 - Imperial de São Cristóvão, Rio de Janeiro - RJ, 20941-070, Brazil;Rio de Janeiro;RJ;Brazil;20941-070;OK
Claro Data Center LAPA;Claro;-23.54195739494818;-46.70931247916715;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/claro-lapa/;;;;;2012.0;Purpose-built;Sole-tenant;;;;;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;R. Boquim, 463 - Vila Ida, São Paulo - SP, 05454-001, Brazil;São Paulo;SP;Brazil;05454-001;OK
ClickIP Datacenters;ClickIP Datacenters;-3.0553292;-59.990585;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/manaus/clickip-datacenters/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;;15825.0;bloqueado;ok;R. Pres. Joao Batista Figueredo, 70 - Pq Das Laranjeiras, Manaus - AM, 69010-970, Brazil;Manaus;AM;Brazil;69010-970;OK
CloudHQ GIG1;CloudHQ;-22.79429627273789;-43.35038030225854;1;0;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/cloudhq-gig1/;36.0;36.0;28735.0;28735.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0;0;0;0;0;GIG1;;ok;ok;Rua Maria Soares Sendas, 1005-1027 - Venda Velha, São João de Meriti - RJ, 25581-295, Brazil;São João de Meriti;RJ;Brazil;25581-295;OK
CloudHQ GRU Campus;CloudHQ;-22.77138788859079;-47.10601347144599;1;1;Campus;Colocation;;https://www.datacentermap.com/brazil/campinas/cloudhq-gru-campus/;288.0;288.0;;;;Purpose-built;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;ok;ok;6VHV+CH Parque das Indústrias, Paulínia - SP, Brazil;Paulínia;SP;Brazil;13140-000;OK
CloudHQ GRU1;CloudHQ;-22.7725025;-47.1082519;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/cloudhq-gru1/;48.0;48.0;18055.0;18055.0;;Purpose-built;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;GRU1;;ok;ok;6VGR+XM Parque das Indústrias, Paulínia - SP, Brazil;Paulínia;SP;Brazil;13140-000;OK
CloudHQ GRU2;CloudHQ;-22.773284;-47.1068786;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/cloudhq-gru2/;48.0;48.0;18055.0;18055.0;;Purpose-built;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;GRU2;;ok;ok;6VGV+M6 Parque das Indústrias, Paulínia - SP, Brazil;Paulínia;SP;Brazil;13140-000;OK
CloudHQ GRU3;CloudHQ;-22.7716023;-47.104486;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/cloudhq-gru3/;48.0;48.0;18055.0;18055.0;;Purpose-built;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;GRU3;;ok;ok;6VHW+96 Parque das Indústrias, Paulínia - SP, Brazil;Paulínia;SP;Brazil;13140-000;OK
CloudHQ GRU4;CloudHQ;-22.770555;-47.102456;1;0;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/campinas/cloudhq-gru4/;48.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;GRU4;;bloqueado;ok;6VHX+Q2 Paulínia - São Paulo, Brazil;Paulínia;SP;Brazil;;OK
CloudHQ GRU5;CloudHQ;-22.76951;-47.10069;1;0;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/campinas/cloudhq-gru5/;48.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;GRU5;;bloqueado;ok;6VJX+5P Paulínia - São Paulo, Brazil;Paulínia;SP;Brazil;;OK
CloudHQ GRU6;CloudHQ;-22.768695;-47.101916;1;0;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/campinas/cloudhq-gru6/;48.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;GRU6;;bloqueado;ok;6VJX+G6 Paulínia - São Paulo, Brazil;Paulínia;SP;Brazil;;OK
Novvacore Data Center;Novvacore;-23.5877666;-46.6706535;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/cma/;2.0;2.0;400.0;400.0;1990.0;Purpose-built;Sole-tenant;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;;;bloqueado;ok;R. Prof. Filadelfo Azevedo, 712 - Vila Nova Conceição, São Paulo - SP, 04508-011, Brazil;São Paulo;SP;Brazil;04508-011;OK
Connect Web Data Center;Connect Web;-23.6055862;-46.6960933;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/connect-web/;;;;;;Retrofitted;Multi-tenant (mixed use);;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;;;bloqueado;ok;Heliponto Plaza Centenário - Av. das Nações Unidas, 12995 - Berrini, São Paulo - SP, 04533-085, Brazil;São Paulo;SP;Brazil;04533-085;OK
Constel Cascavel Centro;Constel Tecnologia;-24.9480313;-53.4498304;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;R. Minas Gerais, 1932 - Centro, Cascavel - PR, 85812-035, Brazil;Cascavel;PR;Brazil;85812-035;OK
Constel Cascavel Country;Constel Tecnologia;-24.9393548;-53.4416307;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;0;1;;8518.0;bloqueado;ok;R. Pará, 812 - Country, Cascavel - PR, 85813-152, Brazil;Cascavel;PR;Brazil;85813-152;OK
Contato Data Center;Contato Data Center;-28.9420155;-49.4979287;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/ararangu/contato-cloud/;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;1.0;0;0;0;0;0;;;ok;ok;R. Américo Cavalcante Rabêlo, 241 - Cidade Alta, Araranguá - SC, 88901-052, Brazil;Araranguá;SC;Brazil;88901-052;OK
Convex IDC Ribeirão Preto;Convex Internet Solutions;-21.1852257;-47.8081915;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/ribeirao-preto/convex-idc-rpo/;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;iDC-RPO;4167.0;bloqueado;ok;Jose Fortes Guimaraes - R. Bernardino de Campos, 1001 - Centro, Ribeirão Preto - SP, 14015-130, Brazil;Ribeirão Preto;SP;Brazil;14015-130;OK
COPE-P Brasilia;Telebras;-15.85834223206172;-47.89905002324178;1;2;Facility;Government;;https://www.datacentermap.com/brazil/brasilia/cope-p/;17.5;17.5;4500.0;4500.0;;Purpose-built;Sole-tenant;;2N;;;;4.0;4.0;;;;;;;;;;;;;1.0;1.0;0.0;;;;;1.0;;;0;0;0;0;0;;;ok;ok;44R2+M9 Lago Sul, Brasília - Federal District, Brazil;Brasília;DF;Brazil;;OK
COPE-S Rio de Janeiro;Telebras;-22.82647149440208;-43.17830367112702;1;2;Facility;Government;;https://www.datacentermap.com/brazil/rio-de-janeiro/cope-s/;;;;;;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;;;1.0;1.0;0.0;;;;;1.0;;;0;0;0;0;0;;;ok;ok;5RFC+CM Rio de Janeiro, Brazil;Rio de Janeiro;RJ;Brazil;;OK
CWB-HN 01;Hosting Now;-25.44583383579607;-49.26575676773692;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/curitiba/cwbhn-01/;;;2000.0;2000.0;2022.0;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;;;bloqueado;ok;R. Brasílio Itiberê, 2217 - Rebouças, Curitiba - PR, 80230-050, Brazil;Curitiba;PR;Brazil;80230-050;OK
Locaweb Data Center Itapaiuna;Locaweb S/A;-23.6416742;-46.7288851;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-itapaiuna/;2.5;2.5;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;4;0;0;;11721.0;bloqueado;ok;R. Itapaiúna, 2434 - Parque do Morumbi, São Paulo - SP, Brazil;São Paulo;SP;Brazil;;OK
Locaweb Data Center JK;Locaweb S/A;-23.5910194;-46.6866995;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-jk/;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;1.0;1.0;0;0;0;0;0;;;ok;ok;Av. Pres. Juscelino Kubitschek, 1132 - Vila Olímpia, São Paulo - SP, 04543-000, Brazil;São Paulo;SP;Brazil;04543-000;OK
Avato Santa Maria;Ávato;-29.6957946;-53.7978236;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/santa-maria/dc-coracao-do-rio-grande/;;;;;;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;1.0;0;0;2;0;0;;5927.0;ok;ok;Av. Fernando Ferrari, 1280 - Nossa Sra. de Lourdes, Santa Maria - RS, 97050-800, Brazil;Santa Maria;RS;Brazil;97050-800;OK
Ultranet Telecom DC Fortaleza;Ultranet Telecom;-3.7344285;-38.5049194;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;Av. Santos Dumont, 2122 - Sl 1302 - Aldeota, Fortaleza - CE, 60150-162, Brazil;Fortaleza;CE;Brazil;60150-162;OK
Ultranet Telecom DC Centro;Ultranet Telecom;-22.9101794;-43.2044016;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/dc-ultranet-telecom1/;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;1.0;1.0;0.0;0.0;0.0;;;0.0;1.0;1.0;0;0;0;0;0;;;ok;ok;Av. Pres. Vargas, nº 3131 - Cidade Nova, Rio de Janeiro - RJ, 20040-010, Brazil;Rio de Janeiro;RJ;Brazil;20040-010;OK
DSI - PAE-A01;DSI Internet;-30.0290429;-51.2045037;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/dsi-pae-a01/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;R. Mostardeiro, 265 - Rio Branco, Porto Alegre - RS, 90430-001, Brazil;Porto Alegre;RS;Brazil;90430-001;OK
Edge Connection - CPS01;Edge Connection;-22.8148445;-47.0287932;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/;;;;;;;;;2N;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;Rua Ângelo Sellin, 401 - Jardim Myrian Moreira da Costa, Campinas - SP, 13098-422, Brazil;Campinas;SP;Brazil;13098-422;OK
Elea BEL1;Elea Data Centers;-1.41264568658525;-48.48808399344105;1;0;Facility;Colocation;;https://www.datacentermap.com/brazil/belem/elea-bel1/;100.0;100.0;;;2027.0;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;1.0;0.0;0.0;0;0;0;0;0;;;ok;ok;HGP6+WQ Belém, Pará, Brazil;Belém;PA;Brazil;;OK
Elea BSB1;Elea Data Centers;-15.7883222;-47.8855136;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/;4.0;4.0;;;;Purpose-built;;1200.0;N+1;;1.0;;;;1.0;;;;1.0;;;;2.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;1.0;0.0;0.0;0;0;12;0;0;BSB1;11611.0;ok;ok;0 - SCN Q 3 - St. Comercial, Brasília - DF, 70713-900, Brazil;Brasília;DF;Brazil;70713-900;OK
Elea BSB2;Elea Data Centers;-15.7894869;-47.9115011;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/;4.5;4.5;;;;Purpose-built;;1200.0;N+1;;1.0;;3.0;;1.0;;;;1.0;;;;2.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;1.0;0.0;0.0;0;1;36;0;1;BSB2;11610.0;ok;ok;EPIG, 421 - Sudoeste/Octogonal, Brasília - DF, 70610-420, Brazil;Brasília;DF;Brazil;70610-420;OK
Elea CTA1;Elea Data Centers;-25.4247684;-49.2811411;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/;1.7;1.7;;;;Purpose-built;;1200.0;N+1;;1.0;;;;1.0;;;;1.0;;;;2.0;2.0;;;;;;;;;;;;;0;0;8;0;0;CTA1;11613.0;bloqueado;ok;Tv. Teixeira de Freitas, 73 - São Francisco, Curitiba - PR, 80410-040, Brazil;Curitiba;PR;Brazil;80410-040;OK
Elea POA1;Elea Data Centers;-30.0344071;-51.1911759;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa1/;1.5;1.5;;;;Retrofitted;;1200.0;N+1;1.0;1.0;;;;1.0;;;;1.0;;;;2.0;2.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;1.0;0.0;0.0;0;0;11;0;0;POA1;11612.0;ok;ok;Rua Engenheiro Afonso Cavalcanti, 100 - Bela Vista, Porto Alegre - RS, 90440-110, Brazil;Porto Alegre;RS;Brazil;90440-110;OK
Elea POA2;Elea Data Centers;-30.0204138;-51.214324;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa2/;7.0;7.0;;;;Retrofitted;;1200.0;N+1;1.0;1.0;;3.0;;1.0;;;;1.0;;;2.0;;;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;1.0;0.0;0.0;0;0;3;0;0;POA2;12984.0;ok;ok;R. Ramiro Barcelos, 000 - Rio Branco, Porto Alegre - RS, 90035-002, Brazil;Porto Alegre;RS;Brazil;90035-002;OK
Elea RJO1;Elea Data Centers;-22.9683248;-43.3805263;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/elea-digital-rjo1/;;;;;2016.0;Purpose-built;;1200.0;N+1;;1.0;;3.0;3.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;0;0;40;0;0;RJO1;5375.0;bloqueado;ok;R. Vargem Grande, 100 - Barra Olímpica, Rio de Janeiro - RJ, 22775-020, Brazil;Rio de Janeiro;RJ;Brazil;22775-020;OK
Elea SPO1;Elea Data Centers;-23.6518054;-46.7261678;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo1/;3.5;3.5;;;;Retrofitted;;1200.0;N+1;;1.0;;3.0;;1.0;;;;1.0;;;;2.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;1.0;0.0;0.0;0;0;16;0;0;SPO1;11609.0;ok;ok;Av. Guido Caloi, 5 - Santo Amaro, São Paulo - SP, 05802-140, Brazil;São Paulo;SP;Brazil;05802-140;OK
Elea SPO2;Elea Data Centers;-23.6774468;-46.5725548;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo2/;5.0;5.0;;;;;Sole-tenant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;SPO2;15433.0;bloqueado;ok;R. Camaçari, 353 - Vila Jordanopolis, São Bernardo do Campo - SP, 09733-000, Brazil;São Bernardo do Campo;SP;Brazil;09733-000;OK
Elea SPO3;Elea Data Centers;-23.5013594;-46.8473233;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo3/;5.0;5.0;;;2001.0;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;SPO3;15772.0;bloqueado;ok;Al. Rio Negro, 530 - Alphaville Industrial, Barueri - SP, 06454-000, Brazil;Barueri;SP;Brazil;06454-000;OK
Elea RJO2;Elea Data Centers;-22.96681659168444;-43.38080634198599;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo2/;80.0;80.0;;;;Purpose-built;;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;RJO2;;ok;ok;Est. Arroio Pavuna, 1867 - Barra Olímpica, Rio de Janeiro - RJ, Brazil;Rio de Janeiro;RJ;Brazil;;OK
Elea RJO3;Elea Data Centers;-22.96527862278515;-43.38160795485794;1;0;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo3/;;;;;;Purpose-built;;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;RJO3;;ok;ok;Av. Imperatriz Leopoldina, 1673 - Barra Olímpica, Rio de Janeiro - RJ, 22775-020, Brazil;Rio de Janeiro;RJ;Brazil;22775-020;OK
Elea RJO4;Elea Data Centers;-22.96352534540635;-43.38217515289966;1;0;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo4/;;;;;;Purpose-built;;;;;;;;;;;;;;;;;;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;RJO4;;ok;ok;Est. Arroio Pavuna, 1433 - Jacarepaguá, Rio de Janeiro - RJ, Brazil;Rio de Janeiro;RJ;Brazil;;OK
Enegix Piauí;Enegix;-2.956195978406484;-41.76979620360595;1;0;Facility;Enterprise;Crypto Mining;https://www.datacentermap.com/brazil/parnaiba/enegix-piau/;100.0;100.0;;;;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;26VJ+G3 Parnaíba, Piauí, Brazil;Parnaíba;PI;Brazil;;OK
Engetronics Brasilia;ENGETRONICS INTERNET DATACENTER;-15.7892783;-47.8863236;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/brasilia/engetronics-brasilia/;;;;;;Retrofitted;Multi-tenant (mixed use);;;;;;;;;;;;;;;;;;0.0;0.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;1.0;0;0;0;0;0;;;ok;ok;607 - SHN Q. 2 - Asa Norte, Brasília - DF, 70702-080, Brazil;Brasília;DF;Brazil;70702-080;OK
Equinix RJ1;Equinix;-22.95490599063348;-43.19455146789551;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj1/;;;1400.0;1400.0;;Retrofitted;;;;;;;;;2.0;;;;1.0;;;;;;;;;;;;;;;;;;1;0;62;0;0;RJ1;1586.0;bloqueado;ok;R. Voluntários da Pátria, 360 - Botafogo, Rio de Janeiro - RJ, 22270-010, Brazil;Rio de Janeiro;RJ;Brazil;22270-010;OK
Equinix RJ2;Equinix;-22.87137100666576;-43.2732367515564;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj2/;;;2850.0;2850.0;2013.0;Purpose-built;;;;;;;3.0;3.0;2.0;;;;1.0;;;;;;;;;;;;;;;;;;1;0;191;4;1;RJ2;1899.0;bloqueado;ok;Estrada Adhemar Bebiano, 1380 - Del Castilho, Rio de Janeiro - RJ, 21061-750, Brazil;Rio de Janeiro;RJ;Brazil;21061-750;OK
Equinix RJ3;Equinix;-22.7963142;-43.3485363;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj3/;;;1467.0;1467.0;2025.0;Purpose-built;;;N+2;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;6;0;0;RJ3;15048.0;bloqueado;ok;6M32+FH São João de Meriti, Rio de Janeiro, Brazil;São João de Meriti;RJ;Brazil;;OK
Equinix SP1;Equinix;-23.54601881056474;-46.63581758737564;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp1/;;;1664.0;1664.0;1998.0;Retrofitted;Multi-tenant (mixed use);;N+1;1.0;1.0;1.0;;;2.0;;;;1.0;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;1.0;1;0;90;2;1;SP1;1585.0;ok;ok;R. Dr. Miguel Couto, 58 - Centro Histórico de São Paulo, São Paulo - SP, 01008-010, Brazil;São Paulo;SP;Brazil;01008-010;OK
Equinix SP2;Equinix;-23.50295173401723;-46.8272066116333;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp2/;;;3660.0;3660.0;2017.0;;;;;;;;3.0;3.0;2.0;;;;1.0;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;1.0;1;0;267;4;1;SP2;1283.0;ok;ok;Alameda Araguaia, 3641 - Tamboré, Barueri - SP, 06455-000, Brazil;Barueri;SP;Brazil;06455-000;OK
Equinix SP3;Equinix;-23.46633659842699;-46.86304092407227;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp3/;13.3;13.3;9000.0;9000.0;2017.0;Purpose-built;;;;;;;3.0;3.0;2.0;;;;1.0;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;1.0;1;0;147;1;3;SP3;4309.0;ok;ok;Av. Marcos Penteado de Ulhôa Rodrigues, 249 - Res. Tambore III, Santana de Parnaíba - SP, 06543-001, Brazil;Santana de Parnaíba;SP;Brazil;06543-001;OK
Equinix SP4;Equinix;-23.49343730305815;-46.80943965911865;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp4/;;;10704.0;10704.0;;Purpose-built;;;;;;;;;2.0;;;;1.0;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;0.0;1;1;650;8;4;SP4;165.0;ok;ok;Av. Ceci, 1900 - Res. Tambore, Barueri - SP, 06460-120, Brazil;Barueri;SP;Brazil;06460-120;OK
Equinix SP5x;Equinix;-23.46393786425595;-46.8626817427955;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/;14.4;14.4;5087.0;5087.0;2021.0;;;;N+2;1.0;1.0;1.0;;;2.0;1.0;;1.0;1.0;;1.0;2.0;2.0;;1.0;1.0;1.0;0.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;1;0;0;SP5x;14845.0;ok;ok;Av. Marcos Penteado de Ulhôa Rodrigues, 888 - Res. Tambore III, Santana de Parnaíba - SP, 06543-900, Brazil;Santana de Parnaíba;SP;Brazil;06543-900;OK
Equinix SP6;Equinix;-23.4617951;-46.8571846;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp6/;;;2975.0;2975.0;2026.0;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;0;0;SP6;15047.0;bloqueado;ok;G4QV+74 Santana de Parnaíba, São Paulo, Brazil;Santana de Parnaíba;SP;Brazil;;OK
Equinix SP7;Equinix;-23.46273037128772;-46.85742464143956;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp7/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;ok;ok;Av. Marcos Penteado de Ulhôa Rodrigues, 1525 - Res. Tambore III, Santana de Parnaíba - SP, Brazil;Santana de Parnaíba;SP;Brazil;;OK
Everest Digital Data Center;Everest Digital;-16.68937263321776;-49.24135147797131;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/goiania/everest-digital-data-center/;;;;;;;;;;;;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;Av. Fued José Sebba, 364 - Jardim Goiás, Goiânia - GO, 74603-065, Brazil;Goiânia;GO;Brazil;74603-065;OK
